,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
1492,clancbu01,10,522,1796,204,504,69,26,12,198.0,19.0,111,106.0,Bud,Clancy,170.0,72.0,L,L,1B,N,0.28062360801781705,0.322496067121133,0.36804008908686
6436,peitzhe01,21,1235,4124,532,1117,191,66,16,560.0,91.0,410,261.0,Heinie,Peitz,165.0,71.0,R,R,C,N,0.270853540252182,0.33678870754300805,0.360814742967992
2620,fioreje01,4,58,148,23,40,5,0,1,21.0,4.0,17,29.0,Jeff,Fiorentino,185.0,73.0,L,R,OF,N,0.27027027027027,0.34545454545454496,0.324324324324324
5577,metroch01,2,171,358,42,69,10,2,3,23.0,3.0,36,55.0,Charlie,Metro,178.0,71.0,R,R,OF,N,0.192737430167598,0.26649746192893403,0.25698324022346397
333,bakerfr02,2,125,353,39,82,17,4,4,38.0,3.0,26,68.0,Frank,Baker,180.0,70.0,L,R,OF,N,0.23229461756373898,0.28496042216358797,0.337110481586402
4541,krameke01,0,21,37,5,5,0,0,0,4.0,0.0,2,20.0,Kevin,Kramer,200.0,72.0,L,R,2B,N,0.135135135135135,0.179487179487179,0.135135135135135
6999,riosju01,0,87,196,20,44,5,1,1,5.0,1.0,7,19.0,Juan,Rios,185.0,75.0,R,R,2B,N,0.224489795918367,0.25123152709359603,0.27551020408163296
3536,hatchmi01,11,1130,3377,348,946,172,20,38,375.0,11.0,164,246.0,Mickey,Hatcher,200.0,74.0,R,R,OF,N,0.280130293159609,0.313470770968653,0.376665679597276
7944,stanked01,10,1259,4301,811,1154,185,35,29,364.0,48.0,996,374.0,Eddie,Stanky,170.0,68.0,R,R,2B,N,0.26830969541967004,0.40589012648669104,0.34782608695652195
7282,saiervi01,8,865,2948,455,775,143,61,55,395.0,121.0,378,369.0,Vic,Saier,185.0,71.0,L,R,1B,N,0.262890094979647,0.34666265784726397,0.40875169606512896
119,allisbo01,12,1541,5032,811,1281,216,53,256,796.0,84.0,795,1033.0,Bob,Allison,205.0,75.0,R,R,OF,N,0.25457074721780604,0.35627252445512303,0.471184419713831
2335,dunlagr01,0,16,17,2,6,0,1,1,3.0,0.0,0,2.0,Grant,Dunlap,180.0,74.0,R,R,OF,N,0.3529411764705879,0.3529411764705879,0.647058823529412
4799,levisje01,9,319,654,66,167,23,1,3,60.0,2.0,76,66.0,Jesse,Levis,180.0,69.0,L,R,C,N,0.255351681957187,0.332876712328767,0.307339449541284
5471,mcmilge01,0,10,35,4,5,0,0,0,1.0,1.0,7,4.0,George,McMillan,175.0,68.0,,,OF,N,0.14285714285714302,0.28571428571428603,0.14285714285714302
5751,mooreha01,0,111,461,77,155,23,5,1,,,19,,Henry,Moore,,,,,OF,N,0.33622559652928397,0.3625,0.4143167028199571
