,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
2803,frymatr01,12,1698,6481,895,1776,345,40,223,1022.0,72.0,602,1369.0,Travis,Fryman,180.0,73.0,R,R,3B,N,0.27403178521833,0.33573344627982504,0.44283289615800003
88,alfoned01,11,1506,5385,777,1532,282,18,146,744.0,53.0,596,617.0,Edgardo,Alfonzo,210.0,71.0,R,R,2B,N,0.28449396471680605,0.35579334559438197,0.42488393686165293
445,bartoha01,0,29,60,5,10,2,1,0,3.0,2.0,3,6.0,Harry,Barton,155.0,66.0,B,R,1B,N,0.166666666666667,0.206349206349206,0.23333333333333303
332,bakerfr01,14,1575,5984,887,1838,315,103,96,987.0,235.0,473,,Home Run,Baker,173.0,71.0,L,R,3B,Player,0.307152406417112,0.35790614836611406,0.442346256684492
5575,methebu01,3,376,1390,187,344,52,5,31,156.0,12.0,149,122.0,Bud,Metheny,190.0,71.0,L,L,OF,N,0.247482014388489,0.32033788174139,0.35899280575539594
7384,scanlpa01,0,6,24,2,7,1,0,0,,,0,,Pat,Scanlon,180.0,72.0,L,,OF,N,0.29166666666666696,0.29166666666666696,0.33333333333333304
5508,mearepa01,8,982,3287,401,849,157,24,58,382.0,43.0,150,588.0,Pat,Meares,185.0,72.0,R,R,SS,N,0.258290234256161,0.29066045970322996,0.373592941892303
8168,sweenje01,0,31,129,16,34,3,0,0,,,4,,Jerry,Sweeney,157.0,69.0,,,1B,N,0.263565891472868,0.28571428571428603,0.286821705426357
6095,noonani01,3,83,145,14,28,3,0,1,9.0,0.0,9,37.0,Nick,Noonan,185.0,73.0,L,R,SS,N,0.193103448275862,0.24025974025973998,0.23448275862068998
1849,crossmo01,15,1684,5828,719,1365,232,68,31,621.0,328.0,616,719.0,Monte,Cross,148.0,68.0,R,R,SS,N,0.234214138641043,0.307417752948479,0.31331503088538104
1440,chaveen01,13,1151,3149,385,849,140,34,30,266.0,106.0,180,356.0,Endy,Chavez,170.0,71.0,L,L,OF,N,0.269609399809463,0.309101832382097,0.36424261670371505
4332,kellemi01,0,76,282,48,68,11,2,3,33.0,10.0,21,22.0,Mike,Kelley,210.0,72.0,R,R,1B,N,0.24113475177305,0.293729372937294,0.32624113475177297
9023,winceed01,1,32,67,6,14,3,0,1,8.0,0.0,3,12.0,Ed,Winceniak,165.0,69.0,R,R,2B,N,0.20895522388059698,0.24285714285714302,0.298507462686567
2844,gallabo01,3,213,255,34,56,6,1,2,13.0,1.0,16,56.0,Bob,Gallagher,185.0,75.0,L,L,OF,N,0.219607843137255,0.265682656826568,0.27450980392156893
