,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
8766,washiul01,10,907,2797,358,703,103,36,27,255.0,132.0,261,409.0,U. L.,Washington,175.0,71.0,B,R,SS,N,0.25134072220236,0.315238718116416,0.342867357883447
5680,mirabdo01,11,566,1456,162,337,78,2,58,206.0,3.0,165,415.0,Doug,Mirabelli,205.0,73.0,R,R,C,N,0.231456043956044,0.309685379395435,0.40728021978021994
6366,parkewe01,8,1288,4157,548,1110,194,32,64,470.0,60.0,532,615.0,Wes,Parker,180.0,73.0,B,L,1B,N,0.267019485205677,0.350181275325229,0.375270627856627
4372,kendrho01,12,1475,5525,720,1607,327,37,108,648.0,124.0,315,1036.0,Howie,Kendrick,220.0,71.0,R,R,2B,N,0.290859728506787,0.329109589041096,0.42208144796380104
1176,cabreas01,11,1529,5686,760,1530,346,24,162,705.0,86.0,477,1107.0,Asdrubal,Cabrera,205.0,72.0,B,R,SS,N,0.269081955680619,0.325653091027097,0.42384804783679203
8092,stynech01,9,828,2326,351,640,118,9,51,265.0,49.0,191,308.0,Chris,Stynes,175.0,69.0,R,R,2B,N,0.275150472914875,0.33015494636472,0.39939810834049894
98,allendi01,14,1749,6332,1099,1848,320,79,351,1119.0,133.0,894,1556.0,Dick,Allen,187.0,71.0,R,R,3B,N,0.291850915982312,0.379463050096872,0.533638660770689
3269,griffto01,12,1401,4947,589,1383,208,72,52,619.0,70.0,351,262.0,Tommy,Griffith,175.0,70.0,L,R,OF,N,0.279563371740449,0.327293318233296,0.382251869820093
1492,clancbu01,10,522,1796,204,504,69,26,12,198.0,19.0,111,106.0,Bud,Clancy,170.0,72.0,L,L,1B,N,0.28062360801781705,0.322496067121133,0.36804008908686
8398,torrefr01,7,714,1482,150,404,78,15,13,179.0,4.0,155,64.0,Frank,Torre,200.0,76.0,L,L,1B,N,0.272604588394062,0.34147831398900397,0.371794871794872
3724,higgibo02,10,1362,4910,736,1336,270,33,187,709.0,91.0,649,796.0,Bobby,Higginson,180.0,71.0,L,R,OF,N,0.27209775967413397,0.3570786112610179,0.454786150712831
7992,stennre01,10,1237,4521,500,1239,177,41,41,432.0,75.0,207,348.0,Rennie,Stennett,160.0,71.0,R,R,2B,N,0.274054412740544,0.305837563451777,0.35854899358549
3085,goldspa01,7,1092,3975,709,1182,267,19,209,710.0,124.0,655,1059.0,Paul,Goldschmidt,225.0,75.0,R,R,1B,N,0.297358490566038,0.396760259179266,0.531823899371069
9069,woodge01,12,1280,5371,965,1467,228,132,68,601.0,,418,547.0,George,Wood,175.0,70.0,L,R,OF,N,0.273133494693726,0.32561755052686103,0.40271830199217995
3626,hendrel01,11,711,1888,205,415,66,7,62,230.0,1.0,229,319.0,Elrod,Hendricks,175.0,73.0,L,R,C,N,0.21980932203389802,0.304204062352385,0.360699152542373
5795,morgaed01,6,771,2810,512,879,186,45,52,473.0,36.0,385,252.0,Ed,Morgan,180.0,72.0,R,R,1B,N,0.312811387900356,0.3956181533646321,0.466548042704626
834,bourjpe01,8,849,2072,280,498,90,37,43,168.0,66.0,133,547.0,Peter,Bourjos,175.0,73.0,R,R,OF,N,0.24034749034748998,0.28616780045351503,0.3817567567567571
1396,cepedor01,16,2124,7927,1131,2351,417,27,379,1365.0,142.0,588,1169.0,Orlando,Cepeda,210.0,74.0,R,R,1B,Player,0.29658130440267405,0.345155607751028,0.49943231991926296
