,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
5579,metzlal01,5,560,1968,290,561,85,41,9,207.0,46.0,260,144.0,Alex,Metzler,167.0,69.0,L,R,OF,N,0.285060975609756,0.36849192100538597,0.383638211382114
2047,deckeha01,6,156,570,72,138,20,4,5,,,41,,Harry,Decker,180.0,71.0,R,R,C,N,0.242105263157895,0.292962356792144,0.317543859649123
1992,davisch01,18,2436,8673,1240,2380,424,30,350,1372.0,142.0,1194,1698.0,Chili,Davis,195.0,75.0,B,R,OF,N,0.274414850686037,0.36221749265227504,0.4512855989853571
8003,stephri01,13,1310,4508,714,1515,321,54,63,773.0,53.0,494,247.0,Riggs,Stephenson,185.0,70.0,R,R,OF,N,0.33606921029281295,0.401639344262295,0.473158828748891
3598,heilmha01,18,2148,7787,1291,2660,542,151,183,1539.0,113.0,856,550.0,Harry,Heilmann,195.0,73.0,R,R,OF,Player,0.341594965968923,0.4068031933356471,0.520482856042122
3934,hudlere01,14,774,1767,261,461,96,10,56,169.0,107.0,77,325.0,Rex,Hudler,180.0,73.0,R,R,2B,N,0.26089417091114897,0.29175704989153994,0.42161856253537106
6413,peacojo01,8,619,1734,175,455,74,16,1,194.0,14.0,183,73.0,Johnny,Peacock,165.0,71.0,L,R,C,N,0.26239907727797,0.33281168492436103,0.32525951557093397
4937,lovigja01,3,46,52,17,10,0,0,0,4.0,5.0,3,6.0,Jay,Loviglio,160.0,69.0,R,R,2B,N,0.19230769230769199,0.23636363636363603,0.19230769230769199
3569,headlch01,11,1436,5088,637,1337,272,16,130,596.0,93.0,574,1298.0,Chase,Headley,215.0,74.0,B,R,3B,N,0.26277515723270395,0.33751324620275497,0.399174528301887
4111,jensema01,6,145,343,33,63,16,1,6,29.0,0.0,50,106.0,Marcus,Jensen,195.0,76.0,B,R,C,N,0.18367346938775503,0.287531806615776,0.288629737609329
2674,floregi01,2,185,464,58,121,20,6,2,37.0,15.0,34,61.0,Gil,Flores,185.0,72.0,R,R,OF,N,0.26077586206896597,0.3112449799196789,0.34267241379310304
3451,happejo01,0,32,86,7,19,5,0,0,10.0,0.0,3,13.0,John,Happenny,165.0,71.0,R,R,2B,N,0.22093023255814,0.247191011235955,0.27906976744186
1276,careyma01,19,2476,9363,1545,2665,419,159,70,800.0,738.0,1040,695.0,Max,Carey,170.0,71.0,B,R,OF,Player,0.284630994339421,0.35614726521195794,0.38577379045177795
5941,murreiv01,11,564,1306,126,308,41,15,33,123.0,20.0,44,342.0,Ivan,Murrell,195.0,74.0,R,R,OF,N,0.23583460949464,0.26074074074074105,0.366003062787136
4938,lovitjo01,3,306,763,70,165,22,4,4,53.0,22.0,80,113.0,Joe,Lovitto,185.0,72.0,B,R,OF,N,0.216251638269987,0.290628706998814,0.27129750982962003
4283,kahoemi01,14,410,1309,103,278,43,14,4,105.0,21.0,39,74.0,Mike,Kahoe,185.0,72.0,R,R,C,N,0.212375859434683,0.235163204747774,0.27578304048892305
1530,clarkro02,9,230,530,40,100,16,3,5,43.0,4.0,41,98.0,Ron,Clark,175.0,70.0,R,R,3B,N,0.188679245283019,0.24693520140105102,0.258490566037736
2368,dykstal01,0,13,31,3,4,0,0,1,4.0,0.0,6,12.0,Allan,Dykstra,215.0,77.0,L,R,1B,N,0.129032258064516,0.27027027027027,0.22580645161290303
7128,rohnda01,3,54,72,5,18,3,2,1,11.0,1.0,4,9.0,Dan,Rohn,165.0,68.0,L,R,2B,N,0.25,0.289473684210526,0.38888888888888895
8557,vanbude01,0,13,44,2,11,2,0,0,3.0,2.0,3,2.0,Deacon,Van Buren,175.0,70.0,L,R,OF,N,0.25,0.29787234042553196,0.29545454545454497
5746,moorech02,14,1334,4033,456,1052,187,43,36,408.0,51.0,346,470.0,Charlie,Moore,180.0,71.0,R,R,C,N,0.26084800396727,0.319250970541219,0.35531862137366704
5532,melilsk01,11,1377,5063,590,1316,210,64,22,548.0,69.0,327,306.0,Ski,Melillo,150.0,68.0,R,R,2B,N,0.259924945684377,0.304823747680891,0.33971953387319803
1060,buddido01,6,711,2289,342,551,123,12,41,225.0,15.0,410,404.0,Don,Buddin,178.0,71.0,R,R,SS,N,0.24071647007426802,0.356057799184883,0.35867190913062497
8176,swiftbo01,13,1001,2750,212,635,86,3,14,238.0,10.0,324,233.0,Bob,Swift,180.0,71.0,R,R,C,N,0.230909090909091,0.311971372804164,0.279636363636364
6390,patebo01,1,31,45,3,12,2,0,0,5.0,0.0,4,6.0,Bob,Pate,200.0,75.0,R,R,OF,N,0.266666666666667,0.326530612244898,0.311111111111111
136,alouma01,14,1667,5789,780,1777,236,50,31,427.0,156.0,311,377.0,Matty,Alou,160.0,69.0,L,L,OF,N,0.306961478666436,0.342295081967213,0.38106754188979103
631,berrych01,0,43,170,21,38,8,1,1,,,1,,Charlie,Berry,175.0,71.0,R,R,2B,N,0.22352941176470603,0.228070175438596,0.3
3499,harriwi01,11,1046,2441,365,580,100,24,39,212.0,107.0,306,500.0,Willie,Harris,195.0,69.0,L,R,OF,N,0.23760753789430603,0.322533673097925,0.346169602621876
2216,donahjo01,0,10,36,5,10,4,0,0,1.0,0.0,4,5.0,John,Donahue,170.0,68.0,B,R,OF,N,0.277777777777778,0.35,0.38888888888888895
6025,neunjo01,6,432,945,171,273,42,17,2,85.0,41.0,110,93.0,Johnny,Neun,175.0,70.0,B,L,1B,N,0.288888888888889,0.36303317535545,0.37566137566137603
7283,sakatle01,10,565,1289,163,296,46,4,25,109.0,30.0,97,158.0,Lenn,Sakata,160.0,69.0,R,R,2B,N,0.229635376260667,0.283549783549784,0.329712955779674
1662,connafr02,2,58,122,16,27,4,0,3,15.0,0.0,19,26.0,Fritzie,Connally,210.0,75.0,R,R,3B,N,0.22131147540983603,0.32624113475177297,0.327868852459016
2071,delahto01,3,19,67,13,16,5,0,0,6.0,4.0,8,5.0,Tom,Delahanty,175.0,68.0,R,R,2B,N,0.23880597014925398,0.32,0.313432835820896
6340,palmeed01,0,16,52,7,11,1,0,0,5.0,1.0,7,7.0,Eddie,Palmer,175.0,69.0,R,R,3B,N,0.211538461538462,0.305084745762712,0.23076923076923103
4152,johnsgr01,2,63,117,10,22,5,0,1,8.0,0.0,6,26.0,Greg,Johnston,175.0,72.0,L,L,OF,N,0.188034188034188,0.227642276422764,0.25641025641025605
4702,lawru01,8,749,2421,379,656,101,37,18,199.0,228.0,184,210.0,Rudy,Law,165.0,73.0,L,L,OF,N,0.270962412226353,0.32245681381957797,0.365551425030979
7071,robinja02,9,1382,4877,947,1518,273,54,137,734.0,197.0,740,291.0,Jackie,Robinson,195.0,71.0,R,R,2B,Player,0.311256920237851,0.401993946946769,0.473651835144556
35,adamshe01,2,95,337,39,88,8,6,0,18.0,4.0,22,24.0,Herb,Adams,160.0,69.0,L,L,OF,N,0.261127596439169,0.306406685236769,0.32047477744807107
