,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
7994,stenzja01,9,768,3031,664,1024,190,71,32,533.0,292.0,300,110.0,Jake,Stenzel,168.0,70.0,R,R,OF,N,0.337842296271857,0.397478234764335,0.47904981854173495
6747,quintca01,5,438,1376,163,380,59,1,19,165.0,3.0,153,207.0,Carlos,Quintana,175.0,72.0,R,R,OF,N,0.276162790697674,0.348593852190974,0.361918604651163
2858,gallojo01,3,346,1082,185,220,45,5,88,187.0,14.0,169,479.0,Joey,Gallo,235.0,77.0,L,R,3B,N,0.203327171903882,0.310951239008793,0.49815157116451003
609,bergetu01,2,173,622,88,150,22,6,1,57.0,18.0,54,42.0,Tun,Berger,178.0,66.0,,R,C,N,0.241157556270096,0.30177514792899396,0.30064308681672
2602,fieldsa01,1,12,41,4,6,0,0,0,1.0,,1,4.0,Sam,Field,182.0,69.0,R,R,C,N,0.146341463414634,0.166666666666667,0.146341463414634
8471,tulowtr01,11,1286,4793,761,1389,263,24,224,779.0,57.0,509,896.0,Troy,Tulowitzki,205.0,75.0,R,R,SS,N,0.2897976215314,0.357978121463599,0.49488837888587495
1360,castiru01,2,99,317,45,83,12,2,7,35.0,7.0,16,63.0,Rusney,Castillo,195.0,69.0,R,R,OF,N,0.26182965299684496,0.297297297297297,0.37854889589905394
3576,hearnhu01,2,94,293,31,83,13,2,0,35.0,5.0,19,27.0,Hughie,Hearne,182.0,68.0,R,R,C,N,0.283276450511945,0.326923076923077,0.34129692832764497
7887,speaktr01,21,2789,10195,1882,3514,792,222,117,1529.0,432.0,1381,,Tris,Speaker,193.0,71.0,L,L,OF,Player,0.344678764100049,0.422857636489288,0.500343305541932
1769,covinwe01,10,1075,2978,355,832,128,17,131,499.0,7.0,247,414.0,Wes,Covington,205.0,73.0,L,R,OF,N,0.27938213566151804,0.33457364341085305,0.465748824714574
2449,encared01,13,1807,6463,999,1705,347,10,380,1156.0,61.0,829,1269.0,Edwin,Encarnacion,230.0,73.0,R,R,3B,N,0.263809376450565,0.347504114097641,0.496982825313322
2354,durhara01,13,1975,7408,1249,2054,440,79,192,875.0,273.0,820,1201.0,Ray,Durham,170.0,68.0,B,R,2B,N,0.277267818574514,0.34929508993680103,0.435745140388769
1087,burkefr01,1,51,138,8,26,1,2,0,9.0,4.0,12,16.0,Frank,Burke,,68.0,,R,OF,N,0.18840579710144897,0.253333333333333,0.22463768115942
4499,kochba01,0,33,96,11,21,2,0,0,1.0,0.0,3,9.0,Barney,Koch,140.0,68.0,R,R,2B,N,0.21875,0.24242424242424201,0.239583333333333
8331,thompsa01,21,1410,5998,1261,1988,343,161,126,1308.0,,452,234.0,Sam,Thompson,207.0,74.0,L,R,OF,Player,0.331443814604868,0.378294573643411,0.505335111703901
8261,telisto01,4,122,252,25,58,8,3,1,24.0,0.0,7,34.0,Tomas,Telis,220.0,68.0,B,R,C,N,0.23015873015873,0.250965250965251,0.297619047619048
151,alvaror01,3,25,51,4,8,2,0,2,8.0,0.0,0,5.0,Orlando,Alvarez,165.0,72.0,R,R,OF,N,0.156862745098039,0.156862745098039,0.313725490196078
3246,greggto01,10,446,880,86,214,41,2,20,88.0,14.0,71,158.0,Tommy,Gregg,190.0,73.0,L,L,OF,N,0.24318181818181797,0.29968454258675103,0.3625
5934,murragl01,0,38,97,8,19,3,0,2,6.0,1.0,7,36.0,Glenn,Murray,225.0,74.0,R,R,OF,N,0.19587628865979395,0.25,0.288659793814433
971,browebo01,3,256,582,104,141,21,3,17,60.0,29.0,69,118.0,Bob,Brower,185.0,71.0,R,R,OF,N,0.24226804123711299,0.32258064516129,0.376288659793814
5823,morrijo07,6,402,614,60,145,15,8,8,63.0,15.0,42,108.0,John,Morris,185.0,73.0,L,L,OF,N,0.236156351791531,0.285060975609756,0.32573289902280106
7838,snydech02,9,715,2087,227,467,98,1,77,298.0,0.0,309,560.0,Chris,Snyder,235.0,76.0,R,R,C,N,0.22376617153809303,0.323873121869783,0.38236703402012495
1647,comptpe01,7,291,773,78,186,24,8,5,80.0,26.0,65,,Pete,Compton,170.0,71.0,L,L,OF,N,0.240620957309185,0.29952267303102603,0.311772315653299
925,brickfr01,7,501,1448,221,407,54,23,6,131.0,19.0,106,121.0,Fred,Brickell,160.0,67.0,L,R,OF,N,0.281077348066298,0.33011583011583,0.362569060773481
6544,phillbi01,9,1038,4255,562,1130,214,98,17,534.0,,178,,Bill,Phillips,202.0,72.0,R,R,1B,N,0.26556991774383104,0.29505977893074703,0.373913043478261
1359,castipe01,7,545,1670,205,426,62,11,24,150.0,10.0,103,126.0,Pete,Castiglione,175.0,71.0,R,R,3B,N,0.255089820359281,0.29836435420191804,0.34850299401197604
8374,toccica01,0,66,120,11,27,3,2,0,5.0,0.0,7,39.0,Carlos,Tocci,160.0,74.0,R,R,OF,N,0.225,0.26771653543307106,0.28333333333333305
933,brigggr01,5,110,378,46,62,7,5,0,22.0,9.0,21,,Grant,Briggs,170.0,71.0,,,C,N,0.16402116402116398,0.20802005012531302,0.20899470899470898
1898,cunnibi02,3,318,945,113,270,39,12,9,112.0,17.0,52,48.0,Bill,Cunningham,155.0,68.0,R,R,OF,N,0.28571428571428603,0.32296890672016,0.38095238095238104
3472,harpebr01,16,1001,3151,339,931,186,7,63,428.0,8.0,133,188.0,Brian,Harper,195.0,74.0,R,R,C,N,0.295461758172009,0.323995127892814,0.41891463027610293
213,anthoer01,8,682,1999,249,462,81,8,78,269.0,24.0,217,491.0,Eric,Anthony,195.0,74.0,L,L,OF,N,0.23111555777888898,0.30640794223826695,0.3966983491745871
7475,schwepi01,1,12,24,6,5,3,0,0,6.0,0.0,3,9.0,Pi,Schwert,160.0,70.0,R,R,C,N,0.208333333333333,0.296296296296296,0.33333333333333304
2997,gilbe01,10,604,1610,158,381,75,12,32,171.0,24.0,102,448.0,Benji,Gil,210.0,74.0,R,R,SS,N,0.23664596273291896,0.28212616822429903,0.35776397515528
6384,pasekjo01,1,32,70,7,18,4,0,0,4.0,2.0,8,8.0,Johnny,Pasek,175.0,70.0,R,R,C,N,0.25714285714285695,0.33333333333333304,0.314285714285714
8974,willire03,5,414,844,146,218,35,1,0,58.0,40.0,129,169.0,Reggie,Willits,185.0,71.0,B,R,OF,N,0.25829383886255897,0.35662898252826297,0.30213270142180104
7765,smithfr05,4,438,1422,143,321,39,25,8,158.0,58.0,133,219.0,Fred,Smith,185.0,71.0,R,R,3B,N,0.22573839662447304,0.291961414790997,0.30520393811533103
1265,carabra01,2,40,99,10,20,4,1,2,3.0,3.0,6,33.0,Ramon,Caraballo,150.0,67.0,B,R,2B,N,0.202020202020202,0.24761904761904802,0.323232323232323
8875,whiteel01,0,15,70,13,18,2,0,0,9.0,0.0,1,6.0,Elmer,White,,,,,C,N,0.25714285714285695,0.267605633802817,0.28571428571428603
8334,thompti01,4,187,517,49,123,24,2,8,47.0,2.0,39,52.0,Tim,Thompson,190.0,71.0,L,R,C,N,0.23791102514506798,0.29136690647482,0.338491295938104
