,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
6416,pearcha01,2,135,424,42,88,9,5,0,29.0,11.0,17,62.0,Harry,Pearce,158.0,69.0,R,R,SS,N,0.20754716981132101,0.23809523809523803,0.252358490566038
5576,metkoca01,11,1055,3585,476,934,167,36,47,373.0,61.0,307,359.0,George,Metkovich,185.0,73.0,L,L,OF,N,0.260529986052999,0.318859198355601,0.36652719665272
1885,culbech01,6,310,707,82,175,34,4,18,90.0,12.0,40,194.0,Charlie,Culberson,200.0,72.0,R,R,2B,N,0.24752475247524802,0.28781793842034803,0.38330975954738294
8797,weeksje01,5,260,955,121,243,45,18,4,62.0,41.0,78,155.0,Jemile,Weeks,170.0,69.0,B,R,2B,N,0.254450261780105,0.310745401742498,0.351832460732984
4667,larkige01,6,758,2321,275,618,131,12,32,266.0,23.0,268,278.0,Gene,Larkin,195.0,75.0,B,R,1B,N,0.266264541146058,0.34221707222866,0.37440758293838894
5648,millela02,5,433,1500,166,404,73,8,33,167.0,40.0,104,287.0,Lastings,Milledge,210.0,71.0,R,R,OF,N,0.26933333333333304,0.31670822942643395,0.3946666666666671
7852,soderer01,9,894,2894,402,764,120,14,102,383.0,18.0,295,359.0,Eric,Soderholm,187.0,71.0,R,R,3B,N,0.263994471319972,0.332079021636877,0.420870767104354
6302,owenma01,9,1011,3782,473,1040,167,44,31,497.0,30.0,338,283.0,Marv,Owen,175.0,73.0,R,R,3B,N,0.27498677948175604,0.334466019417476,0.36700158646218894
6256,orourti01,4,387,1510,272,440,43,23,1,204.0,81.0,197,,Tim,O'Rourke,170.0,70.0,L,R,3B,N,0.291390728476821,0.37316930287053296,0.352317880794702
7363,saturlu01,1,25,10,1,1,1,0,0,1.0,1.0,1,4.0,Luis,Saturria,165.0,74.0,R,R,OF,N,0.1,0.18181818181818202,0.2
2792,fribebe01,14,1299,4169,544,1170,181,44,38,471.0,51.0,471,498.0,Bernie,Friberg,178.0,71.0,R,R,2B,N,0.280642840009595,0.353663793103448,0.372511393619573
1368,castrda01,3,98,272,24,57,4,1,3,18.0,1.0,11,46.0,Daniel,Castro,190.0,71.0,R,R,2B,N,0.209558823529412,0.240282685512367,0.264705882352941
