,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
4063,jacobja01,1,10,10,0,2,0,0,0,0.0,0.0,0,2.0,Jake,Jacobs,175.0,72.0,R,R,OF,N,0.2,0.2,0.2
2598,fieldjo01,5,344,1329,214,361,66,32,12,178.0,51.0,127,140.0,Jocko,Fields,160.0,70.0,R,R,C,N,0.27163280662152,0.33516483516483503,0.39653875094055696
943,brinsle01,1,130,429,33,81,10,6,13,45.0,3.0,24,137.0,Lewis,Brinson,195.0,75.0,R,R,OF,N,0.18881118881118902,0.23178807947019897,0.331002331002331
5871,mullebi01,8,36,50,5,11,1,0,0,2.0,1.0,10,6.0,Billy,Mullen,160.0,68.0,R,R,3B,N,0.22,0.35,0.24
5120,mansejo01,0,31,126,17,30,3,1,0,17.0,,4,,John,Mansell,168.0,70.0,L,,OF,N,0.23809523809523803,0.261538461538462,0.277777777777778
8951,willigl01,0,13,40,3,17,1,0,0,3.0,1.0,2,7.0,Glenn,Williams,195.0,74.0,B,R,3B,N,0.425,0.452380952380952,0.45
1971,davalvi01,17,1458,4017,510,1122,160,37,36,329.0,125.0,212,422.0,Vic,Davalillo,150.0,67.0,L,L,OF,N,0.279312920089619,0.31544100260108804,0.364451082897685
6836,redmapr01,0,15,24,3,3,1,0,1,2.0,2.0,1,9.0,Prentice,Redman,185.0,75.0,R,R,OF,N,0.125,0.16,0.29166666666666696
5609,milancl01,15,1982,7359,1004,2100,240,105,17,617.0,495.0,685,,Clyde,Milan,168.0,69.0,L,R,OF,N,0.28536485935589095,0.34622078567876696,0.35344476151651
1986,davisbl01,0,25,59,6,15,3,1,1,6.0,1.0,6,13.0,Blake,Davis,170.0,71.0,L,R,2B,N,0.254237288135593,0.32307692307692304,0.38983050847457595
3368,hairsje02,15,1442,4387,580,1126,233,22,70,420.0,147.0,373,572.0,Jerry,Hairston,195.0,70.0,R,R,2B,N,0.256667426487349,0.314915966386555,0.36767722817415105
3569,headlch01,11,1436,5088,637,1337,272,16,130,596.0,93.0,574,1298.0,Chase,Headley,215.0,74.0,B,R,3B,N,0.26277515723270395,0.33751324620275497,0.399174528301887
656,biancbu01,5,311,550,70,113,16,7,6,30.0,8.0,41,157.0,Buddy,Biancalana,160.0,71.0,B,R,SS,N,0.20545454545454503,0.260575296108291,0.292727272727273
4040,jacksch03,7,82,156,10,34,8,1,2,14.0,2.0,14,35.0,Chuck,Jackson,185.0,72.0,R,R,3B,N,0.21794871794871803,0.28235294117647103,0.32051282051282104
596,berbelo01,6,448,1224,118,281,34,10,31,153.0,2.0,200,195.0,Lou,Berberet,200.0,71.0,L,R,C,N,0.229575163398693,0.33778089887640506,0.349673202614379
595,berarjo01,13,912,3028,334,755,167,23,36,387.0,27.0,284,268.0,Johnny,Berardino,175.0,71.0,R,R,2B,N,0.24933949801849398,0.313707729468599,0.355350066050198
9073,woodji01,2,102,488,162,162,33,12,3,82.0,28.0,25,6.0,Jimmy,Wood,150.0,68.0,,R,2B,N,0.33196721311475397,0.364522417153996,0.467213114754098
3400,haltal01,4,257,854,76,204,30,9,6,90.0,35.0,61,130.0,Al,Halt,180.0,72.0,R,R,SS,N,0.238875878220141,0.289617486338798,0.31615925058548
7626,shirear01,4,290,986,118,287,45,12,11,119.0,8.0,81,62.0,Art,Shires,195.0,73.0,L,R,1B,N,0.29107505070993894,0.34489222118088103,0.394523326572008
2181,dilonmi01,11,800,2000,314,530,67,25,6,129.0,267.0,142,197.0,Miguel,Dilone,160.0,72.0,B,R,OF,N,0.265,0.313725490196078,0.3325
5695,mizejo01,17,1884,6443,1118,2011,367,83,359,1337.0,28.0,856,524.0,Johnny,Mize,215.0,74.0,L,R,1B,Player,0.312121682446065,0.39279353336073397,0.562005277044855
5507,meadolo01,4,102,127,15,22,0,1,5,13.0,6.0,10,28.0,Louie,Meadows,190.0,71.0,L,L,OF,N,0.173228346456693,0.23357664233576603,0.307086614173228
5680,mirabdo01,11,566,1456,162,337,78,2,58,206.0,3.0,165,415.0,Doug,Mirabelli,205.0,73.0,R,R,C,N,0.231456043956044,0.309685379395435,0.40728021978021994
6398,patteja01,2,26,63,9,15,1,1,2,4.0,0.0,3,10.0,Jarrod,Patterson,195.0,73.0,L,R,3B,N,0.23809523809523803,0.272727272727273,0.38095238095238104
6849,reedeic01,0,6,26,0,4,0,0,0,,,0,,Icicle,Reeder,195.0,73.0,R,,OF,N,0.153846153846154,0.153846153846154,0.153846153846154
5612,milesaa01,8,932,2827,347,793,110,18,19,229.0,30.0,162,294.0,Aaron,Miles,180.0,68.0,B,R,2B,N,0.280509373894588,0.31950485112077603,0.352316943756632
3408,hamilda02,13,1328,4577,707,1333,204,37,51,454.0,163.0,493,494.0,Darryl,Hamilton,180.0,73.0,L,R,OF,N,0.291238802709198,0.36015779092702205,0.385405287306096
6257,orourto01,3,85,312,32,58,11,0,0,26.0,8.0,21,,Tom,O'Rourke,158.0,69.0,R,R,C,N,0.185897435897436,0.237237237237237,0.221153846153846
9146,youngde04,4,344,710,76,183,37,4,17,81.0,4.0,58,182.0,Delwyn,Young,209.0,70.0,B,R,OF,N,0.257746478873239,0.31380208333333304,0.392957746478873
