,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
7013,riverji01,9,1171,3552,503,911,155,56,83,422.0,160.0,365,523.0,Jim,Rivera,196.0,72.0,L,L,OF,N,0.25647522522522503,0.32575950982895097,0.401745495495495
3146,goodwto01,13,1288,3846,636,1029,125,39,24,284.0,369.0,365,660.0,Tom,Goodwin,165.0,73.0,L,R,OF,N,0.267550702028081,0.331037758252197,0.33905356214248605
8049,storkal01,3,266,863,68,225,22,11,2,74.0,17.0,45,66.0,Alan,Storke,,73.0,R,R,3B,N,0.26071842410197,0.297356828193833,0.318655851680185
6330,pagelka01,5,48,56,7,13,0,2,1,7.0,0.0,11,20.0,Karl,Pagel,188.0,74.0,L,L,1B,N,0.23214285714285698,0.358208955223881,0.3571428571428571
3275,grimero01,0,26,57,5,9,1,0,0,3.0,1.0,3,8.0,Roy,Grimes,176.0,73.0,R,R,2B,N,0.157894736842105,0.2,0.175438596491228
7827,snellwa01,0,6,12,1,3,0,0,0,0.0,1.0,0,1.0,Wally,Snell,170.0,70.0,R,R,C,N,0.25,0.25,0.25
6877,reidsc01,1,38,68,10,10,1,0,0,1.0,0.0,18,27.0,Scott,Reid,195.0,73.0,L,R,OF,N,0.147058823529412,0.32558139534883695,0.161764705882353
4391,kerinjo01,6,557,2227,392,561,72,51,20,,,165,,John,Kerins,177.0,70.0,R,R,C,N,0.25190839694656497,0.30351170568561897,0.356982487651549
8711,wallijo01,4,329,886,115,216,36,9,16,68.0,7.0,95,174.0,Joe,Wallis,180.0,71.0,B,R,OF,N,0.243792325056433,0.317023445463812,0.358916478555305
3520,hartucl01,5,196,378,42,90,10,6,14,43.0,0.0,25,112.0,Clint,Hartung,210.0,77.0,R,R,OF,N,0.23809523809523803,0.285359801488834,0.407407407407407
321,bairdal01,2,48,107,9,27,1,0,0,9.0,5.0,7,11.0,Al,Baird,160.0,69.0,R,R,2B,N,0.25233644859813104,0.29824561403508804,0.261682242990654
7831,snodgfr01,8,923,3101,453,852,143,42,11,351.0,212.0,386,365.0,Fred,Snodgrass,175.0,71.0,R,R,OF,N,0.27475008061915496,0.35503297963865793,0.35859400193485996
5810,mormaru01,11,207,470,51,117,17,4,10,43.0,3.0,35,102.0,Russ,Morman,215.0,76.0,R,R,1B,N,0.248936170212766,0.300990099009901,0.365957446808511
1246,canavji01,6,541,2072,326,464,63,49,30,291.0,114.0,232,165.0,Jim,Canavan,160.0,68.0,R,R,2B,N,0.22393822393822402,0.30208333333333304,0.34507722007721997
5348,mccorba01,9,989,3645,433,867,110,42,15,417.0,130.0,280,439.0,Barry,McCormick,165.0,69.0,R,R,2B,N,0.237860082304527,0.292229299363057,0.30342935528120696
8206,tartajo01,8,749,1857,247,484,56,24,2,107.0,81.0,115,136.0,Jose,Tartabull,165.0,71.0,L,L,OF,N,0.26063543349488394,0.30375253549695697,0.319870759289176
1890,culleti01,6,700,1761,155,387,57,9,9,134.0,10.0,147,219.0,Tim,Cullen,185.0,73.0,R,R,2B,N,0.21976149914821103,0.27987421383647804,0.27768313458262395
1640,colvity01,5,441,1215,164,290,63,21,49,178.0,14.0,78,352.0,Tyler,Colvin,210.0,75.0,L,L,OF,N,0.238683127572016,0.28460943542149997,0.446090534979424
7296,saltzja01,13,278,764,131,199,26,5,10,82.0,9.0,105,80.0,Jack,Saltzgaver,165.0,71.0,L,R,2B,N,0.26047120418848196,0.34982738780207107,0.346858638743456
3560,haynena01,1,60,89,13,22,0,1,0,4.0,5.0,6,23.0,Nathan,Haynes,180.0,69.0,L,L,OF,N,0.247191011235955,0.29473684210526296,0.269662921348315
2230,donohjo01,0,6,22,2,7,1,0,0,2.0,0.0,1,3.0,Alexander,Donoghue,165.0,68.0,,L,OF,N,0.31818181818181795,0.34782608695652195,0.36363636363636404
1620,collied01,24,2826,9949,1821,3315,438,187,47,1300.0,741.0,1499,,Eddie,Collins,175.0,69.0,L,R,2B,Player,0.333199316514223,0.42051013277428395,0.428987837973666
5397,mcgafpa01,1,73,252,22,49,4,2,1,14.0,4.0,16,30.0,Patsy,McGaffigan,140.0,68.0,R,R,SS,N,0.19444444444444395,0.24253731343283602,0.23809523809523803
5255,matthga02,11,1281,4103,612,1056,225,29,108,484.0,95.0,454,849.0,Gary,Matthews,200.0,75.0,B,R,OF,N,0.257372654155496,0.33135834979153006,0.405313185474043
3712,hicksaa01,5,595,1927,283,454,79,10,70,240.0,50.0,265,452.0,Aaron,Hicks,202.0,73.0,B,R,OF,N,0.235599377270368,0.32801094890511,0.395952257394914
5660,millijo01,9,772,2964,440,848,189,50,49,,,210,,Jocko,Milligan,192.0,72.0,R,R,C,N,0.286099865047233,0.33333333333333304,0.43319838056680204
2643,fitzgmi02,9,848,2316,220,545,95,9,48,293.0,31.0,292,432.0,Mike,Fitzgerald,185.0,72.0,R,R,C,N,0.235319516407599,0.320935582822086,0.34628670120898103
112,allenro02,5,31,50,8,11,2,0,0,3.0,1.0,2,11.0,Rod,Allen,185.0,73.0,R,R,OF,N,0.22,0.25,0.26
4211,jonesga02,8,911,2924,347,734,178,12,122,400.0,28.0,265,680.0,Garrett,Jones,235.0,77.0,L,L,1B,N,0.251025991792066,0.313264346190028,0.445280437756498
3442,hannatr01,2,244,736,62,173,25,4,5,66.0,7.0,97,79.0,Truck,Hannah,190.0,73.0,R,R,C,N,0.235054347826087,0.32412965186074394,0.300271739130435
2688,flynndo01,10,1308,3853,288,918,115,39,7,284.0,20.0,151,320.0,Doug,Flynn,165.0,71.0,R,R,2B,N,0.23825590449000797,0.26698301698301696,0.29379704126654604
6985,riebeha01,7,61,137,2,29,4,0,0,11.0,1.0,3,18.0,Hank,Riebe,175.0,69.0,R,R,C,N,0.21167883211678798,0.22857142857142898,0.24087591240875897
5820,morrijo02,0,12,47,3,10,2,0,0,3.0,,0,3.0,John,Morrissey,,,,,3B,N,0.212765957446809,0.212765957446809,0.25531914893617
7001,ripkeca01,20,3001,11551,1647,3184,603,44,431,1695.0,36.0,1129,1305.0,Cal,Ripken,200.0,76.0,R,R,SS,Player,0.275647130118604,0.340141955835962,0.44740715089602595
2439,elshro01,2,173,404,55,106,17,3,0,39.0,24.0,31,44.0,Roy,Elsh,165.0,69.0,R,R,OF,N,0.262376237623762,0.314942528735632,0.3193069306930689
5768,moraljo01,11,733,1305,126,375,68,6,26,207.0,0.0,89,182.0,Jose,Morales,187.0,71.0,R,R,1B,N,0.28735632183908,0.332855093256815,0.408429118773946
16,abreujo01,0,9,28,4,6,1,0,1,3.0,0.0,4,4.0,Joe,Abreu,160.0,68.0,R,R,2B,N,0.214285714285714,0.3125,0.3571428571428571
504,beanjo01,0,50,182,13,40,2,1,0,5.0,9.0,5,19.0,Joe,Bean,138.0,68.0,R,R,SS,N,0.21978021978022003,0.240641711229947,0.24175824175824198
8362,tinkejo01,14,1806,6441,774,1690,263,114,31,783.0,336.0,416,526.0,Joe,Tinker,175.0,69.0,R,R,SS,Player,0.262381617761217,0.30713139857080396,0.35305076851420597
5757,moorejo02,11,1335,5427,809,1615,258,53,79,513.0,46.0,348,247.0,Jo-Jo,Moore,155.0,71.0,L,R,OF,N,0.297586143357288,0.33991341991342,0.40832872673668696
8035,stirnsn01,9,1028,3695,604,989,157,68,29,281.0,134.0,541,447.0,Snuffy,Stirnweiss,175.0,68.0,R,R,2B,N,0.26765899864682,0.36118980169971704,0.37050067658998603
1044,bryande01,0,39,106,8,19,2,1,0,13.0,0.0,10,10.0,Derek,Bryant,185.0,71.0,R,R,OF,N,0.179245283018868,0.25,0.21698113207547198
