,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
5532,melilsk01,11,1377,5063,590,1316,210,64,22,548.0,69.0,327,306.0,Ski,Melillo,150.0,68.0,R,R,2B,N,0.259924945684377,0.304823747680891,0.33971953387319803
6929,reynocr01,14,1491,4466,480,1142,143,65,42,377.0,58.0,227,406.0,Craig,Reynolds,175.0,73.0,L,R,SS,N,0.255709807433945,0.291711059024078,0.345051500223914
5553,mercejo03,6,821,2710,291,693,150,15,55,277.0,13.0,222,496.0,Jordy,Mercer,210.0,75.0,R,R,SS,N,0.255719557195572,0.312073669849932,0.383025830258303
6312,oylerra01,5,542,1265,110,221,39,6,15,86.0,2.0,135,359.0,Ray,Oyler,165.0,71.0,R,R,SS,N,0.174703557312253,0.254285714285714,0.250592885375494
4321,keenaji01,16,527,1881,254,451,60,36,22,,,177,,Jim,Keenan,186.0,70.0,R,R,C,N,0.23976608187134502,0.30515063168124396,0.34502923976608196
3279,grissma02,16,2165,8275,1187,2251,386,56,227,967.0,429.0,553,1240.0,Marquis,Grissom,190.0,71.0,R,R,OF,N,0.27202416918429,0.317625736293611,0.4145015105740179
256,ashbyal01,16,1370,4123,397,1010,183,13,90,513.0,7.0,461,622.0,Alan,Ashby,185.0,74.0,B,R,C,N,0.244967256851807,0.32089877835951097,0.36114479747756506
5407,mcgehca01,8,850,2798,285,721,141,6,67,380.0,7.0,249,517.0,Casey,McGehee,220.0,73.0,R,R,3B,N,0.257684060042888,0.318345914013784,0.384203002144389
3624,henderi01,24,3081,10961,2295,3055,510,66,297,1115.0,1406.0,2190,1694.0,Rickey,Henderson,180.0,70.0,R,L,OF,Player,0.278715445671015,0.39882898638886793,0.41857494754128294
209,ankieri01,14,653,1921,260,462,101,10,76,251.0,21.0,162,555.0,Rick,Ankiel,210.0,73.0,L,L,OF,N,0.24049973971889604,0.29956793086893896,0.4221759500260279
1340,casilal01,8,578,1696,225,419,76,15,12,157.0,80.0,130,246.0,Alexi,Casilla,170.0,69.0,B,R,2B,N,0.24705188679245302,0.30065717415115,0.33077830188679197
7829,snidetr01,7,630,1783,214,435,100,7,54,212.0,22.0,167,492.0,Travis,Snider,235.0,72.0,L,L,OF,N,0.243970835670219,0.308717948717949,0.39876612450925397
3923,hubbagl01,11,1354,4441,545,1084,214,22,70,448.0,35.0,539,640.0,Glenn,Hubbard,150.0,69.0,R,R,2B,N,0.244089169106057,0.325903614457831,0.349470839900923
4736,leele02,7,614,1617,173,404,83,13,31,152.0,19.0,133,315.0,Leron,Lee,196.0,72.0,L,R,OF,N,0.24984539270253603,0.306857142857143,0.374768089053803
3803,hofmaso01,13,1194,4072,554,1095,162,60,19,495.0,208.0,421,323.0,Solly,Hofman,160.0,72.0,R,R,OF,N,0.268909626719057,0.337413754729579,0.35216110019646396
