,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
2462,ensje01,3,67,186,25,54,8,4,1,24.0,5.0,7,16.0,Jewel,Ens,165.0,70.0,R,R,1B,N,0.29032258064516103,0.31606217616580295,0.39247311827957004
8291,thigpcu01,1,57,118,15,27,5,0,1,12.0,2.0,9,25.0,Curtis,Thigpen,190.0,71.0,R,R,1B,N,0.228813559322034,0.28346456692913397,0.296610169491525
911,brenlbo01,8,871,2615,321,647,119,7,91,333.0,45.0,318,438.0,Bob,Brenly,210.0,74.0,R,R,C,N,0.247418738049713,0.329014660756904,0.402676864244742
4747,legetlo01,6,68,124,13,25,3,0,0,8.0,2.0,5,22.0,Lou,Legett,166.0,70.0,R,R,C,N,0.20161290322580602,0.232558139534884,0.22580645161290303
7706,sizemte01,11,1411,5011,577,1311,188,21,23,430.0,59.0,469,350.0,Ted,Sizemore,165.0,70.0,R,R,2B,N,0.261624426262223,0.32481751824817495,0.32129315505886996
1703,coombce01,0,7,23,1,4,1,0,0,1.0,0.0,1,7.0,Cecil,Coombs,160.0,69.0,R,R,OF,N,0.17391304347826098,0.208333333333333,0.21739130434782603
2320,dunbato01,2,91,225,19,52,6,0,3,18.0,4.0,23,32.0,Tom,Dunbar,192.0,74.0,L,L,OF,N,0.23111111111111102,0.30241935483871,0.29777777777777803
6495,perrini01,0,44,146,13,25,4,1,0,15.0,10.0,13,17.0,Nig,Perrine,160.0,69.0,R,R,2B,N,0.171232876712329,0.23899371069182396,0.212328767123288
7911,spilbry01,6,619,1561,222,424,86,12,42,218.0,31.0,172,328.0,Ryan,Spilborghs,200.0,73.0,R,R,OF,N,0.271620755925689,0.343912290825159,0.422805893657912
4580,kuhnsch01,2,8,21,2,5,0,0,0,3.0,0.0,3,5.0,Charlie,Kuhns,160.0,69.0,,,3B,N,0.23809523809523803,0.33333333333333304,0.23809523809523803
8713,wallsle01,12,902,2558,331,670,88,31,66,284.0,21.0,245,470.0,Lee,Walls,205.0,75.0,R,R,OF,N,0.26192337763878,0.326435961469854,0.39796716184519204
5791,morgabi01,0,8,29,1,4,0,0,0,,,2,,Bill,Morgan,,,,,2B,N,0.137931034482759,0.193548387096774,0.137931034482759
1402,cespeyo01,6,826,3160,472,865,172,24,163,524.0,43.0,238,727.0,Yoenis,Cespedes,220.0,70.0,R,R,OF,N,0.27373417721519,0.324602707474985,0.49810126582278497
165,ambrech01,3,80,189,28,44,9,0,4,10.0,4.0,23,48.0,Chip,Ambres,190.0,73.0,R,R,OF,N,0.23280423280423299,0.316037735849057,0.343915343915344
919,brettge01,20,2707,10349,1583,3154,665,137,317,1596.0,201.0,1096,908.0,George,Brett,185.0,72.0,L,R,3B,Player,0.30476374528940003,0.37134119702927,0.4873900859986471
5296,maysoed01,4,76,136,16,36,3,1,2,11.0,1.0,8,30.0,Edwin,Maysonet,180.0,73.0,R,R,2B,N,0.264705882352941,0.305555555555556,0.34558823529411803
6669,powelpa01,4,30,42,9,7,1,0,1,2.0,0.0,4,15.0,Paul,Powell,185.0,71.0,R,R,OF,N,0.166666666666667,0.23913043478260898,0.261904761904762
5057,magruch01,4,270,540,67,119,32,3,11,56.0,5.0,34,120.0,Chris,Magruder,200.0,71.0,B,R,OF,N,0.22037037037037,0.266550522648084,0.351851851851852
5892,munozya01,0,108,293,39,81,16,0,8,42.0,5.0,30,71.0,Yairo,Munoz,201.0,73.0,R,R,2B,N,0.27645051194539194,0.34365325077399395,0.41296928327645005
2437,elmorja01,4,197,418,34,90,15,0,4,33.0,4.0,48,72.0,Jake,Elmore,180.0,70.0,R,R,2B,N,0.21531100478468898,0.296137339055794,0.279904306220096
6930,reynoda01,0,29,72,6,12,2,1,0,4.0,1.0,3,8.0,Danny,Reynolds,158.0,71.0,R,R,2B,N,0.166666666666667,0.2,0.222222222222222
5604,mierked01,5,35,63,6,11,3,0,1,4.0,1.0,4,18.0,Ed,Mierkowicz,205.0,76.0,R,R,OF,N,0.174603174603175,0.223880597014925,0.26984126984127
2954,geninfr01,9,149,514,75,116,18,0,2,44.0,32.0,43,40.0,Frank,Genins,,,,R,OF,N,0.22568093385214,0.285457809694794,0.272373540856031
7287,salazje01,3,168,298,44,69,15,4,4,31.0,5.0,44,83.0,Jeff,Salazar,195.0,72.0,L,L,OF,N,0.23154362416107396,0.330409356725146,0.34899328859060397
1148,butlebi03,9,1414,5105,592,1479,322,5,147,728.0,5.0,500,840.0,Billy,Butler,260.0,72.0,R,R,1B,N,0.28971596474045097,0.353077609277431,0.44113614103819804
3794,hoffmje01,0,48,188,33,58,6,9,3,36.0,6.0,8,25.0,Jesse,Hoffmeister,,,,R,3B,N,0.308510638297872,0.33673469387755106,0.484042553191489
1068,bukerha01,0,30,111,5,15,1,0,0,3.0,,4,15.0,Henry,Buker,140.0,,,,OF,N,0.135135135135135,0.165217391304348,0.14414414414414403
5657,milleto01,1,60,230,19,43,2,0,0,17.0,2.0,1,8.0,Tom,Miller,136.0,66.0,,,C,N,0.18695652173913002,0.19047619047619,0.195652173913043
6650,porteja01,7,229,544,58,124,22,1,8,62.0,4.0,53,96.0,Jay,Porter,180.0,74.0,R,R,C,N,0.227941176470588,0.296482412060302,0.316176470588235
6728,pyznati01,0,15,42,3,10,1,0,0,0.0,2.0,4,11.0,Tim,Pyznarski,195.0,74.0,R,R,1B,N,0.23809523809523803,0.304347826086957,0.261904761904762
5979,nashke01,2,35,74,6,18,3,1,0,6.0,0.0,9,,Ken,Nash,140.0,68.0,B,R,SS,N,0.24324324324324303,0.325301204819277,0.310810810810811
7879,souzast01,4,471,1590,218,371,68,7,70,198.0,41.0,192,564.0,Steven,Souza,225.0,76.0,R,R,OF,N,0.23333333333333303,0.31593714927048305,0.41698113207547205
6448,penael01,1,25,49,6,12,3,0,0,7.0,3.0,7,7.0,Elvis,Pena,164.0,71.0,B,R,2B,N,0.244897959183673,0.33928571428571397,0.306122448979592
