,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
2798,friscfr01,18,2311,9112,1532,2880,466,138,105,1244.0,419.0,728,272.0,Frankie,Frisch,165.0,71.0,B,R,2B,Player,0.316066725197542,0.3666666666666671,0.43206760316066706
5385,mcdowod01,9,830,2829,458,715,125,28,74,266.0,169.0,294,550.0,Oddibe,McDowell,165.0,69.0,L,L,OF,N,0.25273948391657797,0.323086775536343,0.39519264757865
1848,crossla01,20,2277,9084,1338,2651,411,136,47,1378.0,303.0,466,217.0,Lave,Cross,155.0,68.0,R,R,3B,N,0.291831792162043,0.326387434554974,0.382540730955526
857,boyercl02,16,1725,5780,645,1396,200,33,162,654.0,41.0,470,931.0,Clete,Boyer,165.0,72.0,R,R,3B,N,0.241522491349481,0.29856,0.371626297577855
7152,rominan01,8,585,1198,149,282,38,5,10,81.0,40.0,82,287.0,Andrew,Romine,200.0,73.0,B,R,SS,N,0.235392320534224,0.284375,0.30050083472454103
1053,bucheji01,11,554,1792,242,474,66,19,17,193.0,19.0,91,113.0,Jim,Bucher,170.0,71.0,L,R,2B,N,0.264508928571429,0.30005310674455704,0.35100446428571397
5579,metzlal01,5,560,1968,290,561,85,41,9,207.0,46.0,260,144.0,Alex,Metzler,167.0,69.0,L,R,OF,N,0.285060975609756,0.36849192100538597,0.383638211382114
7933,staintu01,12,817,2261,284,585,90,14,17,204.0,27.0,64,213.0,Tuck,Stainback,175.0,71.0,R,R,OF,N,0.258735072976559,0.279139784946237,0.333480760725343
6967,richapa01,14,523,1417,140,321,51,5,15,155.0,15.0,157,149.0,Paul,Richards,180.0,73.0,R,R,C,N,0.22653493295695104,0.303684879288437,0.30134086097388896
8173,sweenry01,8,682,2118,265,584,124,14,23,224.0,18.0,183,342.0,Ryan,Sweeney,225.0,76.0,L,L,OF,N,0.275731822474032,0.33333333333333304,0.3800755429650611
594,benzito01,8,924,2856,316,733,135,18,66,376.0,21.0,181,552.0,Todd,Benzinger,185.0,73.0,B,R,1B,N,0.256652661064426,0.300954889693777,0.38585434173669503
6195,oleartr01,10,1198,4010,547,1100,234,40,127,591.0,17.0,334,661.0,Troy,O'Leary,175.0,72.0,L,L,OF,N,0.27431421446383997,0.33011049723756897,0.44763092269326704
9060,wolveha01,14,783,3001,346,833,95,53,7,352.0,83.0,166,,Harry,Wolverton,205.0,71.0,B,R,3B,N,0.277574141952682,0.315440479949479,0.35154948350549803
9027,winfida01,22,2973,11003,1669,3110,540,88,465,1833.0,223.0,1216,1686.0,Dave,Winfield,220.0,78.0,R,R,OF,Player,0.28265018631282396,0.354038792045176,0.474506952649277
3024,gillepe01,7,714,2927,450,809,108,45,10,351.0,,106,218.0,Patrick,Gillespie,178.0,73.0,L,R,OF,N,0.27639221045439,0.301681503461919,0.354287666552784
4568,kryhodi01,6,569,1794,203,475,85,14,45,231.0,5.0,119,163.0,Dick,Kryhoski,182.0,74.0,L,L,1B,N,0.264771460423634,0.310507056978568,0.403010033444816
4033,jablora01,7,808,2562,297,687,126,11,83,438.0,16.0,196,330.0,Ray,Jablonski,175.0,70.0,R,R,3B,N,0.268149882903981,0.320159535895576,0.42310694769711205
5524,mejiaro01,9,627,1768,212,449,57,12,54,202.0,22.0,89,238.0,Roman,Mejias,175.0,72.0,R,R,OF,N,0.25395927601810003,0.28971459343026396,0.39140271493212697
5400,mcganda01,12,1437,5226,842,1482,181,100,42,727.0,282.0,429,334.0,Dan,McGann,190.0,72.0,B,R,1B,N,0.283582089552239,0.33793103448275896,0.38059701492537296
312,bagweje01,14,2150,7797,1517,2314,488,32,449,1529.0,202.0,1401,1558.0,Jeff,Bagwell,195.0,72.0,R,R,1B,Player,0.29678081313325605,0.403892150467493,0.540336026676927
190,andermi01,8,721,1490,159,367,67,11,28,134.0,8.0,161,343.0,Mike,Anderson,200.0,74.0,R,R,OF,N,0.246308724832215,0.319806178073895,0.36241610738255003
7969,statzji01,9,683,2585,376,737,114,31,17,215.0,77.0,194,211.0,Jigger,Statz,150.0,67.0,R,R,OF,N,0.28510638297872304,0.33501259445843795,0.372920696324952
8892,whitero02,14,1474,5357,756,1519,296,34,198,768.0,94.0,360,925.0,Rondell,White,193.0,73.0,R,R,OF,N,0.28355422811275,0.328668882280917,0.462385663617696
2956,gentiji01,9,936,2922,434,759,113,6,179,549.0,3.0,475,663.0,Jim,Gentile,210.0,75.0,L,L,1B,N,0.25975359342915805,0.363261701501325,0.486310746064339
1396,cepedor01,16,2124,7927,1131,2351,417,27,379,1365.0,142.0,588,1169.0,Orlando,Cepeda,210.0,74.0,R,R,1B,Player,0.29658130440267405,0.345155607751028,0.49943231991926296
6950,riceji01,15,2089,8225,1249,2452,373,79,382,1451.0,58.0,670,1423.0,Jim,Rice,200.0,74.0,R,R,OF,Player,0.298115501519757,0.35098369870713897,0.502006079027356
6591,pinelba01,9,774,2617,327,723,101,33,5,298.0,71.0,182,162.0,Babe,Pinelli,165.0,69.0,R,R,3B,N,0.27627053878486796,0.32332976062879604,0.34581581964081
5253,matsuka01,6,630,2302,330,615,124,20,32,211.0,102.0,179,403.0,Kazuo,Matsui,187.0,70.0,B,R,2B,N,0.267158992180712,0.32003224506247496,0.38010425716768
6361,parkeda01,18,2466,9358,1272,2712,526,75,339,1493.0,154.0,683,1537.0,Dave,Parker,230.0,77.0,L,R,OF,N,0.289805513998718,0.33811373369186304,0.47072023936738594
2955,gennesc01,5,751,2571,350,743,142,16,85,349.0,24.0,154,530.0,Scooter,Gennett,185.0,70.0,L,R,2B,N,0.288992609879424,0.329174311926606,0.455853753403345
3165,gosligo01,17,2287,8656,1483,2735,500,173,248,1609.0,175.0,949,585.0,Goose,Goslin,185.0,71.0,L,R,OF,Player,0.315965804066543,0.383550234252993,0.499653419593346
3624,henderi01,24,3081,10961,2295,3055,510,66,297,1115.0,1406.0,2190,1694.0,Rickey,Henderson,180.0,70.0,R,L,OF,Player,0.278715445671015,0.39882898638886793,0.41857494754128294
2554,farrejo02,4,541,2172,329,567,93,28,4,141.0,68.0,193,154.0,John,Farrell,160.0,70.0,R,R,2B,N,0.261049723756906,0.321353065539112,0.33517495395948405
4612,lajoina01,20,2480,9590,1504,3243,657,163,82,1599.0,380.0,516,,Nap,Lajoie,195.0,73.0,R,R,2B,Player,0.338164754953076,0.37195725311696,0.46631908237747705
7703,sistisi01,15,1016,2999,401,732,121,19,27,260.0,30.0,283,440.0,Sibby,Sisti,175.0,71.0,R,R,2B,N,0.244081360453484,0.309262644728824,0.324108036012004
8903,whitnar01,11,978,3681,475,820,89,32,6,,,302,,Art,Whitney,155.0,68.0,R,R,3B,N,0.22276555283890198,0.281697213155913,0.269220320565064
