,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
2745,francbe01,6,563,1579,199,400,104,3,50,190.0,30.0,146,325.0,Ben,Francisco,195.0,73.0,R,R,OF,N,0.253324889170361,0.31652173913043496,0.417986067131096
4652,lanieha01,9,1196,3703,297,843,111,20,8,273.0,11.0,136,436.0,Hal,Lanier,180.0,74.0,R,R,SS,N,0.22765325411828197,0.25501432664756396,0.27491223332433196
2354,durhara01,13,1975,7408,1249,2054,440,79,192,875.0,273.0,820,1201.0,Ray,Durham,170.0,68.0,B,R,2B,N,0.277267818574514,0.34929508993680103,0.435745140388769
1203,callaal01,9,1093,3556,391,941,170,14,52,369.0,22.0,350,365.0,Alberto,Callaspo,225.0,69.0,B,R,3B,N,0.264623172103487,0.33051715309779806,0.36417322834645705
7791,smithlo01,16,1613,5170,909,1488,273,58,98,533.0,370.0,623,849.0,Lonnie,Smith,170.0,69.0,R,R,OF,N,0.28781431334622803,0.36440531676160903,0.419922630560928
6478,perezma01,9,931,3131,313,771,108,22,22,241.0,11.0,245,369.0,Marty,Perez,160.0,71.0,R,R,SS,N,0.246247205365698,0.300947867298578,0.31587352283615505
9027,winfida01,22,2973,11003,1669,3110,540,88,465,1833.0,223.0,1216,1686.0,Dave,Winfield,220.0,78.0,R,R,OF,Player,0.28265018631282396,0.354038792045176,0.474506952649277
7982,steinbi02,13,959,2811,268,751,122,18,44,311.0,16.0,186,413.0,Bill,Stein,170.0,70.0,R,R,3B,N,0.26716471006759196,0.312645979312646,0.370330843116329
6909,repozro01,8,831,2145,257,480,73,19,82,260.0,26.0,280,499.0,Roger,Repoz,190.0,75.0,L,L,OF,N,0.223776223776224,0.31340206185567,0.39020979020978996
6145,obriejo02,8,501,1910,246,486,47,17,12,229.0,45.0,154,81.0,John,O'Brien,175.0,69.0,L,R,2B,N,0.254450261780105,0.31007751937984496,0.315706806282723
