,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
5659,millewa02,8,769,2244,322,623,79,35,8,221.0,128.0,318,244.0,Ward,Miller,177.0,71.0,L,R,OF,N,0.277629233511586,0.367291178766589,0.354723707664884
3164,gosgeji01,11,705,1815,197,411,67,16,30,177.0,25.0,217,316.0,Jim,Gosger,185.0,71.0,L,L,OF,N,0.22644628099173603,0.30905511811023606,0.330578512396694
7535,servasc01,10,820,2493,243,611,130,2,63,319.0,3.0,183,407.0,Scott,Servais,195.0,74.0,R,R,C,N,0.24508624147613298,0.29671150971599397,0.37464901724829497
1396,cepedor01,16,2124,7927,1131,2351,417,27,379,1365.0,142.0,588,1169.0,Orlando,Cepeda,210.0,74.0,R,R,1B,Player,0.29658130440267405,0.345155607751028,0.49943231991926296
4838,lindsfr01,12,1438,5611,895,1747,301,81,103,779.0,84.0,334,276.0,Freddie,Lindstrom,170.0,71.0,R,R,3B,Player,0.311352700053466,0.350042052144659,0.44893958296203906
2780,fregoji01,17,1902,6523,844,1726,264,78,151,706.0,76.0,715,1097.0,Jim,Fregosi,190.0,73.0,R,R,SS,N,0.26460217691246396,0.337247858524454,0.398436302314886
4222,jonesma01,10,1002,3091,485,778,132,31,133,415.0,65.0,383,756.0,Mack,Jones,180.0,73.0,L,R,OF,N,0.251698479456487,0.33419689119171003,0.443545778065351
4472,knabeot01,11,1278,4469,572,1103,178,48,8,365.0,143.0,485,326.0,Otto,Knabe,175.0,68.0,R,R,2B,N,0.24681136719624103,0.3205490512717,0.313492951443276
2104,denorch01,10,808,2162,289,587,103,17,41,196.0,56.0,187,408.0,Chris,Denorfia,195.0,72.0,R,R,OF,N,0.271507863089732,0.32950191570881204,0.391766882516189
7261,ryanji01,18,2014,8172,1643,2513,451,157,118,1093.0,,804,491.0,Jimmy,Ryan,162.0,69.0,R,L,OF,N,0.307513460597161,0.369540998217469,0.444444444444444
9057,wolfji01,10,1196,4959,779,1439,212,109,18,,,229,,Chicken,Wolf,190.0,69.0,R,R,OF,N,0.290179471667675,0.321511179645335,0.38777979431337
7439,schmiwa01,9,766,2411,216,619,63,20,3,234.0,57.0,137,105.0,Walter,Schmidt,159.0,69.0,R,R,C,N,0.256739941932808,0.29670329670329704,0.30319369556200704
