,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
8900,whitmda02,2,112,330,31,67,11,2,5,21.0,4.0,18,92.0,Darrell,Whitmore,210.0,73.0,L,R,OF,N,0.203030303030303,0.244252873563218,0.293939393939394
3864,hornsro01,22,2259,8173,1579,2930,541,169,301,1584.0,135.0,1038,679.0,Rogers,Hornsby,175.0,71.0,R,R,2B,Player,0.35849749174109896,0.430789273694496,0.576532485011624
8592,velanjo01,11,174,244,21,46,12,1,2,23.0,2.0,26,66.0,Jorge,Velandia,160.0,69.0,R,R,SS,N,0.188524590163934,0.266666666666667,0.270491803278689
7818,smolija01,4,235,608,67,143,20,5,16,67.0,3.0,43,123.0,Jake,Smolinski,205.0,71.0,R,R,OF,N,0.235197368421053,0.28571428571428603,0.36348684210526294
1031,bruetjt01,1,73,96,9,24,6,0,0,3.0,6.0,7,16.0,J. T.,Bruett,175.0,71.0,L,L,OF,N,0.25,0.300970873786408,0.3125
7722,slaugdo01,15,1327,4063,415,1151,235,28,77,476.0,18.0,311,559.0,Don,Slaught,190.0,73.0,R,R,C,N,0.28328821068176196,0.33424782807498904,0.411764705882353
6944,rhymewi01,2,130,399,54,106,17,4,2,29.0,2.0,35,45.0,Will,Rhymes,170.0,68.0,L,R,2B,N,0.265664160401002,0.32488479262672804,0.343358395989975
574,benchjo01,16,2158,7658,1091,2048,381,24,389,1376.0,68.0,891,1278.0,Johnny,Bench,197.0,73.0,R,R,C,Player,0.267432750065291,0.34378289858462996,0.475842256463829
1494,clappaa01,0,36,146,24,39,9,3,0,18.0,,6,10.0,Aaron,Clapp,175.0,68.0,,R,1B,N,0.267123287671233,0.296052631578947,0.36986301369863006
4850,lisiri01,0,9,16,6,5,0,0,0,1.0,0.0,4,0.0,Rick,Lisi,175.0,72.0,R,R,OF,N,0.3125,0.45,0.3125
